tsne_x,tsne_y,file_name,sound_type,id,gender,age,native_language,country,health
0.814631,0.32979238,f1236_0_sigh,sigh,f1236, female,27, United States of America, EN, no
0.781821,0.66498405,f1541_0_throatclearing,throatclearing,f1541, female,25, United States of America, EN, no
0.63352096,0.037481073,m1679_0_sniff,sniff,m1679, male,34, United States of America, EN, no
0.77650535,0.7242631,m1783_0_throatclearing,throatclearing,m1783, male,19, United Arab Erimates, AR, no
0.05726299,0.7418497,f1291_0_laughter,laughter,f1291, female,23, Italy, IT, no
0.5594544,0.53256685,m0209_0_sneeze,sneeze,m0209, male,39, Brazil, PT, no
0.14628655,0.75082326,f1284_0_laughter,laughter,f1284, female,38, France, FR, no
0.84822595,0.32016227,m1037_0_sigh,sigh,m1037, male,28, Italy, IT, no
0.67689025,0.8680971,m0019_0_cough,cough,m0019, male,23, Brazil, PT, no
0.22887848,0.7022888,f2769_0_laughter,laughter,f2769, female,34, United Kingdom, EN, yes
0.7621728,0.20795898,m1329_0_sniff,sniff,m1329, male,33, India, TA, no
0.5964439,0.57550246,m2930_0_throatclearing,throatclearing,m2930, male,21, Italy, IT, no
0.68356603,0.26918358,f2769_0_sniff,sniff,f2769, female,34, United Kingdom, EN, yes
0.67066413,0.52119607,f1956_2_sneeze,sneeze,f1956, female,24, United States of America, EN, no
0.089427315,0.822805,f0998_0_laughter,laughter,f0998, female,30, United States of America, EN, no
0.052226424,0.7513921,m2523_0_laughter,laughter,m2523, male,34, India, TA, no
0.16821766,0.75945556,m2536_0_laughter,laughter,m2536, male,31, United States of America, EN, no
0.686485,0.09223743,f2899_0_sniff,sniff,f2899, female,41, United States of America, EN, no
0.6489394,0.49940056,f1216_0_sneeze,sneeze,f1216, female,50, United States of America, EN, no
0.49222538,0.54886883,m1528_0_sigh,sigh,m1528, male,26, India, TA, no
0.9649591,0.7341937,f2985_0_throatclearing,throatclearing,f2985, female,26, Italy, IT, no
0.7976829,0.65408385,m1770_0_throatclearing,throatclearing,m1770, male,23, Italy, IT, no
0.5401537,0.6065194,f0716_0_sneeze,sneeze,f0716, female,25, United States of America, EN, no
0.5035016,0.5817816,f1941_1_sneeze,sneeze,f1941, female,45, United States of America, EN, no
0.6521723,0.37468374,f0743_0_sneeze,sneeze,f0743, female,28, India, BN, no
0.6803166,0.77723867,m1794_0_cough,cough,m1794, male,34, Brazil, PT, no
0.47623187,0.41999787,m3123_0_cough,cough,m3123, male,38, India, EN, yes
0.6771588,0.1537583,f0511_0_sniff,sniff,f0511, female,24, United States of America, EN, no
0.6689627,0.29040134,f0748_0_sigh,sigh,f0748, female,53, United States of America, ES, no
0.53524005,0.5128674,m0186_0_cough,cough,m0186, male,56, United States of America, EN, no
0.67194295,0.14370064,m2743_0_sniff,sniff,m2743, male,29, United States of America, EN, no
0.60405374,0.8582324,m2731_0_cough,cough,m2731, male,35, Pakistan, UR, no
0.5904032,0.60327345,m2047_0_sneeze,sneeze,m2047, male,40, India, HI, no
0.6979853,0.20816791,f1303_0_sniff,sniff,f1303, female,50, United States of America, EN, no
0.72177136,0.7170733,m0563_2_cough,cough,m0563, male,45, United States of America, EN, no
0.5937156,0.96708715,f2684_0_cough,cough,f2684, female,30, Canada, EN, no
0.7465975,0.95746845,f1621_0_cough,cough,f1621, female,53, United States of America, EN, no
0.10014708,0.70029753,m0262_0_laughter,laughter,m0262, male,42, United States of America, EN, no
0.6860372,0.88366115,m2261_0_cough,cough,m2261, male,33, United Kingdom, EN, no
0.58745563,0.9345939,m0618_0_throatclearing,throatclearing,m0618, male,27, United States of America, EN, no
0.7397512,0.048514754,f1653_0_sniff,sniff,f1653, female,43, United States of America, EN, no
0.64922273,0.3331843,f2558_0_sneeze,sneeze,f2558, female,22, United States of America, EN, no
0.17907551,0.80289346,f0028_0_laughter,laughter,f0028, female,51, United States of America, EN, no
0.78473276,0.22295465,m0056_0_sigh,sigh,m0056, male,25, Italy, IT, no
0.6195169,0.9256693,m1864_0_cough,cough,m1864, male,22, United Kingdom, EN, no
0.7603147,0.3319643,m2393_0_sigh,sigh,m2393, male,22, Brazil, PT, no
0.83288705,0.27105764,f2192_0_sigh,sigh,f2192, female,25, United States of America, EN, no
0.7288753,0.5018451,f2368_0_laughter,laughter,f2368, female,18, United States of America, EN, no
